[27, 56, 27, 56, 27, 56, 72, 101]
[46, 101, 46, 101, 46, 101, 110, 165]
[17, 54, 17, 54, 17, 54, 64, 101]
[14, 60, 14, 60, 22, 68, 13, 59]
[50, 82, 56, 88, 124, 156, 123, 155]
[34, 81, 35, 82, 34, 81, 107, 154]
[37, 94, 37, 94, 37, 94, 37, 94]
[12, 39, 12, 39, 10, 37, 12, 39]
[11, 59, 6, 54, 73, 121, 9, 57]
[31, 55, 31, 55, 31, 55, 31, 55]
[36, 96, 36, 96, 36, 96, 108, 168]
[8, 35, 15, 60, 82, 127, 16, 61]
[29, 84, 28, 83, 29, 84, 99, 154]
[38, 81, 38, 81, 39, 82, 38, 81]
[28, 75, 27, 74, 27, 74, 108, 155]
[21, 76, 29, 84, 29, 84, 92, 147]
[18, 50, 19, 51, 56, 88, 18, 50]
[11, 46, 8, 43, 9, 44, 39, 74]
[39, 93, 39, 93, 106, 160, 37, 91]
[44, 86, 44, 86, 44, 86, 131, 173]
[56, 89, 17, 50, 55, 88, 17, 50]
[44, 81, 49, 86, 49, 86, 134, 171]
[45, 90, 44, 89, 44, 89, 127, 172]
[38, 94, 38, 94, 38, 94, 38, 94]
[15, 67, 15, 67, 15, 67, 19, 91]
[28, 61, 28, 61, 28, 61, 28, 61]
[26, 57, 26, 57, 84, 115, 26, 57]
[9, 33, 26, 65, 16, 40, 14, 38]
[19, 42, 20, 43, 21, 44, 19, 42]
[13, 82, 13, 82, 13, 82, 13, 82]
[12, 61, 15, 64, 10, 59, 14, 63]
[32, 81, 33, 82, 36, 85, 110, 159]
[20, 49, 20, 49, 20, 49, 20, 49]
[12, 43, 19, 70, 20, 71, 85, 136]
[9, 38, 8, 37, 28, 57, 8, 37]
[10, 37, 24, 70, 84, 130, 22, 68]
[23, 65, 23, 65, 22, 64, 22, 64]
[10, 70, 28, 88, 88, 148, 23, 83]
[13, 45, 13, 45, 13, 45, 56, 88]
[21, 48, 21, 48, 21, 48, 21, 48]
[32, 60, 32, 60, 32, 60, 111, 139]
[41, 98, 41, 98, 41, 98, 113, 170]
[56, 87, 16, 47, 14, 45, 54, 85]
[31, 80, 30, 79, 30, 79, 109, 158]
[12, 55, 11, 54, 10, 53, 53, 96]
[24, 53, 35, 64, 32, 61, 36, 65]
[27, 82, 27, 82, 27, 82, 111, 166]
[24, 82, 16, 74, 19, 77, 108, 166]
[28, 70, 28, 70, 27, 69, 100, 142]
[29, 80, 29, 80, 28, 79, 109, 160]
[27, 86, 28, 87, 96, 155, 97, 156]
[37, 84, 38, 85, 36, 83, 106, 153]
[45, 77, 45, 77, 44, 76, 117, 149]
[42, 85, 40, 83, 39, 82, 121, 164]
[68, 94, 23, 49, 70, 96, 21, 47]
[27, 56, 27, 56, 27, 56, 70, 99]
[13, 77, 13, 77, 13, 77, 13, 77]
[28, 53, 28, 53, 28, 53, 68, 93]
[20, 47, 20, 47, 20, 47, 66, 93]
[2, 66, 2, 66, 1, 65, 80, 144]
[12, 42, 22, 72, 99, 149, 24, 74]
[5, 37, 5, 37, 42, 74, 5, 37]
[54, 95, 53, 94, 53, 94, 54, 95]
[24, 50, 24, 50, 24, 50, 24, 50]
[32, 92, 3, 63, 36, 96, 33, 93]
[42, 87, 41, 86, 41, 86, 119, 164]
[84, 134, 10, 60, 83, 133, 10, 60]
[20, 58, 16, 54, 13, 51, 13, 51]
[25, 86, 19, 80, 20, 81, 107, 168]
[38, 84, 39, 85, 38, 84, 112, 158]
[20, 48, 20, 48, 21, 49, 20, 48]
[22, 75, 25, 78, 25, 78, 87, 140]
[19, 63, 25, 69, 32, 76, 102, 146]
[102, 148, 34, 80, 35, 81, 111, 157]
[21, 64, 22, 65, 21, 64, 95, 138]
[6, 46, 7, 47, 12, 52, 5, 45]
[37, 84, 37, 84, 36, 83, 114, 161]
[45, 98, 47, 100, 39, 92, 109, 162]
[29, 56, 28, 55, 28, 55, 28, 55]
[118, 173, 38, 93, 40, 95, 120, 175]
[21, 52, 7, 59, 5, 57, 7, 59]
[38, 92, 38, 92, 40, 94, 41, 95]
[34, 90, 38, 94, 98, 154, 2, 58]
[34, 81, 31, 78, 32, 79, 117, 164]
[10, 42, 10, 42, 10, 42, 53, 85]
[8, 41, 9, 42, 53, 86, 9, 42]
[46, 95, 46, 95, 108, 157, 107, 156]
[1, 12, 2, 44, 65, 107, 1, 43]
[53, 83, 15, 45, 51, 81, 16, 46]
[30, 85, 30, 85, 30, 85, 97, 152]
[11, 45, 10, 44, 48, 82, 10, 44]
[15, 49, 26, 82, 15, 49, 26, 60]
[10, 44, 10, 44, 53, 87, 53, 87]
[65, 89, 23, 47, 23, 47, 64, 88]
[57, 90, 17, 50, 16, 49, 58, 91]
[23, 83, 28, 88, 107, 167, 38, 98]
[17, 51, 18, 52, 50, 84, 17, 51]
[59, 110, 50, 101, 123, 174, 50, 101]
[15, 54, 36, 92, 101, 157, 40, 96]
[25, 54, 23, 52, 73, 102, 24, 53]
[30, 76, 33, 79, 32, 78, 104, 150]
[52, 95, 55, 98, 55, 98, 127, 170]
[42, 90, 43, 91, 41, 89, 115, 163]
[93, 148, 26, 81, 26, 81, 97, 152]
[6, 64, 5, 63, 69, 127, 5, 63]
[55, 86, 14, 45, 56, 87, 14, 45]
[56, 86, 16, 46, 55, 85, 15, 45]
[16, 75, 14, 73, 14, 73, 99, 158]
[36, 71, 6, 41, 48, 83, 6, 41]
[7, 40, 7, 40, 41, 74, 10, 43]
[26, 52, 26, 52, 79, 105, 26, 52]
[35, 77, 9, 51, 54, 96, 10, 52]
